,drug_row,drug_col,cell_line
141,2708,24856436,HT29
142,5426,24964624,HCT116
143,9703,11960529,HT29
144,2094,24964624,HT29
145,4114,24748204,HT29
146,11626560,46926350,HT29
147,4091,4211,HT29
148,3902,11960529,HT29
149,4091,6450551,HT29
150,11960529,42611257,HCT116
151,2187,11960529,HT29
152,5743,6450551,HT29
153,444795,24748204,HT29
154,5743,11626560,HT29
155,2123,46926350,HT29
156,57469,11977753,HT29
157,2094,24748204,HT29
158,2662,11960529,HT29
159,644241,11960529,HT29
160,4091,36462,VCAP
161,36462,11525740,HT29
162,216326,46926350,HT29
163,5311,24964624,A-673
164,3363,11960529,HT29
165,11977753,42611257,SW-620
166,5311,5394,A-673
167,3902,11977753,HT29
168,5426,11960529,HT29
169,4091,11626560,HT29
170,2478,11977753,HT29
171,36462,57469,HT29
172,24964624,42611257,HCT116
173,5311,11960529,A-673
174,216326,24856436,SW-620
175,644241,11977753,HT29
176,2123,36462,HT29
177,2662,11977753,HT29
178,444795,11960529,HT29
179,57469,24856436,SW-620
180,11683,36462,HT29
181,2123,4091,HT29
182,216326,24964624,HCT116
183,354624,24964624,HT29
184,4114,11960529,HT29
185,11977753,42611257,HCT116
186,5743,644241,HT29
187,5453,46926350,HT29
188,3363,11977753,HT29
189,11683,46926350,HT29
190,6450551,46926350,HT29
191,4091,644241,HT29
192,5311,42611257,A-673
193,9703,11977753,HT29
194,57469,24856436,HCT116
195,2094,11960529,HT29
196,354624,24748204,HT29
197,36462,216326,HT29
198,11960529,24856436,A-673
199,4091,36462,A375
200,5426,11960529,HCT116
201,4091,176871,HT29
202,2187,11977753,HT29
203,4091,5743,VCAP
204,2123,5743,HT29
205,11525740,46926350,HT29
206,5743,176871,HT29
207,11960529,25126798,HT29
208,4211,36462,HT29
209,5426,24856436,SW-620
210,25126798,46926350,HT29
211,5453,36462,HT29
212,3690,11977753,HT29
213,4211,46926350,HT29
214,5743,11525740,HT29
215,354624,11960529,HT29
216,5743,36462,HT29
217,4091,11525740,HT29
218,57469,11977753,SW-620
219,444795,11977753,HT29
220,5311,387447,A-673
221,387447,3062316,PC-3
222,5426,11977753,HT29
223,4091,5453,HT29
224,4091,36462,HT29
225,24856436,25126798,HT29
226,4091,9703,HT29
227,4211,5743,HT29
228,4091,5743,HT29
229,5743,9703,HT29
230,5453,387447,A549
231,60198,11977753,HT29
232,4114,11977753,HT29
233,216326,11960529,SW-620
234,354624,11977753,HT29
235,2708,24964624,HT29
236,2708,24748204,HT29
237,5311,5426,A-673
238,5453,5743,HT29
239,4091,25126798,HT29
240,216326,11977753,SW-620
241,5426,11977753,SW-620
242,5743,25126798,HT29
243,9703,387447,MCF7
244,5311,216326,A-673
245,4091,5743,A375
246,57469,11960529,SW-620
247,4091,4114,HT29
248,57469,24964624,HCT116
249,3363,387447,A549
250,3902,46926350,HT29
251,57469,24856436,A-673
252,5426,11960529,SW-620
253,57469,46926350,HT29
254,2094,11977753,HT29
255,2478,36462,HT29
256,5311,11977753,A-673
257,4091,57469,HT29
258,5743,11683,HT29
259,36462,42611257,HT29
260,2708,11960529,HT29
261,4091,11683,HT29
262,5743,57469,HT29
263,2662,46926350,HT29
264,60699,46926350,HT29
265,5743,42611257,HT29
266,216326,24964624,SW-620
267,11960529,42611257,HT29
268,3902,36462,HT29
269,3363,4091,HT29
270,4091,42611257,HT29
271,24856436,24964624,A-673
272,387447,24856436,A-673
273,2478,4091,HT29
274,36462,60699,HT29
275,644241,46926350,HT29
276,24856436,42611257,A-673
277,3690,36462,HT29
278,2662,4091,HT29
279,2478,5743,HT29
280,3902,4091,HT29
281,3690,5743,HT29
282,3690,4091,HT29
283,2478,46926350,HT29
284,2662,36462,HT29
285,216326,24856436,A-673
286,3363,46926350,HT29
287,4091,5426,HT29
288,24748204,25126798,HT29
289,216326,11960529,HCT116
290,36462,444795,HT29
291,5743,216326,HT29
292,5426,24856436,A-673
293,4091,216326,HT29
294,4211,387447,A549
295,2662,5743,HT29
296,3363,36462,HT29
297,3902,5743,HT29
298,60699,387447,PC-3
299,57469,387447,A549
300,11960529,42611257,A-673
301,11960529,24964624,A-673
302,2187,4091,HT29
303,2187,36462,HT29
304,5743,60699,HT29
305,24964624,25126798,HT29
306,354624,46926350,HT29
307,444795,46926350,HT29
308,4091,60699,HT29
309,11977753,24856436,A-673
310,57469,24964624,SW-620
311,9703,36462,HT29
312,3363,5743,HT29
313,2662,387447,A549
314,24748204,42611257,HT29
315,11977753,25126798,HT29
316,11960529,11977753,A-673
317,2187,5743,HT29
318,9703,387447,A549
319,5426,46926350,HT29
320,387447,444795,PC-3
321,5426,57469,A-673
322,5426,24964624,SW-620
323,9703,46926350,HT29
324,5426,5743,HT29
325,5426,36462,HT29
326,42611257,46926350,HT29
327,2187,46926350,HT29
328,4091,444795,HT29
329,2708,11977753,HT29
330,2187,387447,A549
331,5426,6450551,PC-3
332,4114,6450551,PC-3
333,5743,444795,HT29
334,3690,46926350,HT29
335,57469,42611257,A-673
336,24856436,42611257,HT29
337,57469,11960529,HCT116
338,11977753,42611257,HT29
339,57469,24964624,A-673
340,5453,9826528,HT29
341,387447,11960529,A-673
342,5394,24856436,A-673
343,5426,24964624,A-673
344,2094,4091,HT29
345,24964624,42611257,HT29
346,4114,46926350,HT29
347,5426,11960529,A-673
348,57469,11977753,A-673
349,216326,42611257,A-673
350,2123,9826528,HT29
351,387447,42611257,A-673
352,216326,24964624,A-673
353,5453,387447,PC-3
354,2187,387447,PC-3
355,2094,36462,HT29
356,57469,11960529,A-673
357,4114,5743,HT29
358,387447,24964624,A-673
359,216326,11960529,A-673
360,4114,36462,HT29
361,2094,5743,HT29
362,6450551,9826528,HT29
363,24964624,42611257,A-673
364,4211,9826528,HT29
365,5426,42611257,A-673
366,71384,9826528,HT29
367,5394,57469,A-673
368,216326,11977753,A-673
369,2094,46926350,HT29
370,4211,387447,PC-3
371,11683,9826528,HT29
372,2662,387447,PC-3
373,387447,11977753,A-673
374,3690,387447,HT29
375,5426,11977753,A-673
376,2708,4091,HT29
377,5394,24964624,A-673
378,57469,387447,A-673
379,354624,9826528,HT29
380,5394,11960529,A-673
381,11977753,42611257,A-673
382,216326,9826528,HT29
383,3902,387447,PC-3
384,2708,36462,HT29
385,2708,5743,HT29
386,5394,387447,PC-3
387,5394,42611257,A-673
388,2141,387447,PC-3
389,57469,216326,A-673
390,9703,387447,PC-3
391,11977753,24964624,A-673
392,60198,46926350,HT29
393,216326,387447,A-673
394,5426,216326,A-673
395,3690,387447,PC-3
396,5426,387447,A-673
397,3902,9826528,HT29
398,4114,387447,A549
399,5394,11977753,A-673
400,2708,46926350,HT29
401,2478,9826528,HT29
402,9703,387447,HT29
403,5394,5426,A-673
404,57469,9826528,HT29
405,5394,216326,A-673
406,2662,9826528,HT29
407,5426,387447,HCT116
408,5426,387447,HT29
409,5394,387447,A-673
410,444795,9826528,HT29
411,60699,9826528,HT29
412,3363,9826528,HT29
413,644241,9826528,HT29
414,36462,60198,HT29
415,4114,387447,HT29
416,3690,9826528,HT29
417,2187,9826528,HT29
418,3385,4091,HT29
419,9703,9826528,HT29
420,5426,9826528,HT29
421,3385,36462,HT29
422,3385,5743,HT29
423,4114,9826528,HT29
424,2094,9826528,HT29
425,5743,60198,HT29
426,4091,60198,HT29
427,9826528,25126798,HT29
428,60198,9826528,HT29
429,2708,9826528,HT29
430,9826528,11525740,HT29
431,9826528,11626560,HT29
432,9826528,42611257,HT29
