gene1,gene2,label
472,5883,1
637,2067,1
672,8795,1
1019,5887,1
1019,5970,1
1021,2067,1
1021,5887,1
1069,9978,1
1956,5970,1
2067,142,1
2965,5887,1
2965,7398,1
3479,5887,1
3486,4193,1
3486,57804,1
3791,9978,1
3791,5970,1
4193,10038,1
2475,8493,1
142,7398,1
10038,57804,1
8493,5883,1
5883,9978,1
5883,7398,1
1019,7374,1
637,142,1
672,3486,1
672,3791,1
672,5883,1
1017,2965,1
1019,1956,1
1019,57804,1
1019,8795,1
1069,3486,1
2067,5887,1
2965,57804,1
2965,5430,1
2965,8795,1
3791,2475,1
3791,8493,1
4193,142,1
4193,8493,1
4193,5970,1
2475,57804,1
2475,9978,1
10038,7398,1
6300,7374,1
472,1017,1
472,1021,1
472,1069,1
472,2965,1
472,3479,1
472,7374,1
472,7398,1
672,1021,1
672,6300,1
672,2475,1
672,8493,1
1019,2067,1
1019,5883,1
1019,7398,1
1021,1956,1
1069,2067,1
1069,2475,1
1069,142,1
2067,8795,1
2067,7398,1
3479,3486,1
3479,6300,1
3479,9978,1
3479,7374,1
3479,7398,1
3486,9978,1
3486,7398,1
3791,5888,1
3791,7374,1
6300,5887,1
6300,6240,1
2475,5887,1
6300,142,1
142,5887,1
142,5970,1
10038,9978,1
57804,5888,1
57804,5883,1
57804,9978,1
57804,5970,1
5887,7374,1
5887,7398,1
3791,5883,1
5883,7374,1
9978,5970,1
3486,5970,1
637,3791,1
672,5887,1
1017,3486,1
1017,3791,1
1017,4193,1
1017,8493,1
1017,5887,1
1017,5888,1
1017,5883,1
1017,6240,1
1019,3791,1
1021,3486,1
1069,3791,1
1069,5887,1
1069,5883,1
1069,5970,1
2067,3486,1
2965,3486,1
2965,5883,1
3479,5970,1
3791,7398,1
637,10038,1
57804,5887,1
5887,5883,1
10038,8795,1
472,57804,1
637,1019,1
637,6300,1
637,8493,1
637,5887,1
637,5970,1
637,8795,1
637,1017,1
1017,57804,1
1017,5970,1
1019,10038,1
1019,8493,1
1021,3479,1
1021,3791,1
1021,8493,1
1069,6300,1
1069,10038,1
1069,7374,1
1956,2067,1
1956,3791,1
1956,8493,1
1956,5883,1
2067,10038,1
2067,7374,1
2965,3791,1
2965,5970,1
3479,3791,1
3479,57804,1
3486,3791,1
3486,2475,1
3486,142,1
3791,6300,1
3791,142,1
3791,8795,1
3486,6300,1
6300,8493,1
6300,5883,1
6300,7398,1
472,2475,1
2475,5888,1
2475,5883,1
2475,8795,1
2475,7374,1
142,8493,1
10038,5887,1
10038,5970,1
8493,5970,1
5887,9978,1
472,2067,1
472,3486,1
472,6300,1
472,5430,1
472,8493,1
472,9978,1
1017,1956,1
1017,3479,1
1017,6300,1
1017,2475,1
1017,142,1
1017,9978,1
1017,8795,1
1017,7374,1
1019,3486,1
1019,2475,1
1019,9978,1
1021,4193,1
1021,142,1
1021,5883,1
1021,8795,1
1017,1069,1
1069,8493,1
1956,6300,1
1017,2067,1
2965,6300,1
2965,2475,1
2965,8493,1
3479,2475,1
3479,10038,1
3479,8795,1
3791,10038,1
6300,4193,1
6300,2475,1
6300,9978,1
6300,5970,1
4193,8795,1
2475,142,1
142,57804,1
2475,10038,1
10038,8493,1
8493,5887,1
8493,8795,1
6300,8795,1
8795,7374,1
10038,7374,1
472,10038,1
472,5970,1
1021,5970,1
1956,5887,1
2067,5970,1
2475,5970,1
142,5883,1
142,8795,1
142,7374,1
5887,5970,1
5883,5970,1
9978,7374,1
1956,3486,1
5888,5883,1
5888,5970,1
1956,2475,1
1019,1021,1
1017,1019,1
1019,142,1
1017,1021,1
472,672,1
672,1956,1
672,5888,1
1956,142,1
472,142,1
142,5888,1
3265,5688,1
3845,5688,1
4893,5688,1
1540,3265,1
1540,3845,1
1540,4893,1
3265,5162,1
3845,5162,1
4893,5162,1
3265,4047,1
3845,4047,1
4047,4893,1
3174,3265,1
3174,3845,1
3174,4893,1
3265,8650,1
3845,8650,1
4893,8650,1
3815,3845,1
3815,4893,1
3265,4605,1
3845,4605,1
4605,4893,1
10447,3265,1
10447,3845,1
10447,4893,1
3265,11213,1
11213,3845,1
11213,4893,1
3265,23338,1
3845,23338,1
4893,23338,1
11340,3265,1
11340,3845,1
11340,4893,1
23291,3265,1
23291,3845,1
23291,4893,1
378,3265,1
378,3845,1
378,4893,1
3265,10769,1
3845,10769,1
4893,10769,1
367,3265,1
367,3845,1
367,4893,1
3265,58472,1
3845,58472,1
4893,58472,1
2806,3265,1
2806,3845,1
2806,4893,1
3265,7357,1
3845,7357,1
4893,7357,1
994,3265,1
994,3845,1
994,4893,1
2958,3265,1
2958,3845,1
2958,4893,1
9415,3265,1
9415,3845,1
9415,4893,1
3300,3265,1
3300,3845,1
3300,4893,1
51719,3265,1
51719,3845,1
51719,4893,1
3265,8878,1
3845,8878,1
4893,8878,1
817,3265,1
817,3845,1
817,4893,1
3265,9491,1
3845,9491,1
4893,9491,1
3265,23509,1
3845,23509,1
4893,23509,1
3265,23463,1
23463,3845,1
23463,4893,1
929,3265,1
929,3845,1
929,4893,1
135,3265,1
135,3845,1
135,4893,1
3265,143187,1
3845,143187,1
4893,143187,1
3265,6208,1
3845,6208,1
3265,23530,1
3845,23530,1
23530,4893,1
9945,3265,1
9945,3845,1
9945,4893,1
213,818,1
818,5004,1
818,3815,1
818,5979,1
818,4914,1
818,1436,1
818,5156,1
818,780,1
25,818,1
818,5159,1
5243,818,1
9429,818,1
213,2535,1
2535,5004,1
2535,3815,1
2535,5979,1
2535,4914,1
1436,2535,1
2535,5156,1
780,2535,1
25,2535,1
2535,5159,1
5243,2535,1
9429,2535,1
213,5530,1
5004,5530,1
3815,5530,1
5530,5979,1
4914,5530,1
1436,5530,1
5156,5530,1
780,5530,1
25,5530,1
5159,5530,1
213,1827,1
5004,1827,1
3815,1827,1
1827,5979,1
4914,1827,1
1436,1827,1
5156,1827,1
780,1827,1
25,1827,1
5159,1827,1
5243,1827,1
9429,1827,1
213,6259,1
5004,6259,1
3815,6259,1
5979,6259,1
4914,6259,1
1436,6259,1
5156,6259,1
780,6259,1
25,6259,1
5159,6259,1
5243,6259,1
9429,6259,1
4149,4609,1
978,1029,1
1029,1633,1
1029,6240,1
1029,7298,1
1029,51727,1
5243,1029,1
978,7084,1
1633,7084,1
6240,7084,1
7084,7298,1
51727,7084,1
5243,7084,1
874,3265,1
874,3845,1
874,4893,1
10007,3265,1
10007,3845,1
10007,4893,1
3265,10051,1
3845,10051,1
4893,10051,1
1025,3265,1
1025,3845,1
1025,4893,1
185,3265,1
185,3845,1
185,4893,1
3265,5423,1
3845,5423,1
4893,5423,1
3265,10813,1
3845,10813,1
4893,10813,1
3265,7525,1
3845,7525,1
4893,7525,1
10327,3265,1
10327,3845,1
10327,4893,1
3170,3265,1
3170,3845,1
3170,4893,1
3265,3560,1
3560,3845,1
3560,4893,1
3265,8877,1
3845,8877,1
4893,8877,1
22894,3265,1
22894,3845,1
22894,4893,1
2167,3265,1
2167,3845,1
2167,4893,1
3265,11243,1
3845,11243,1
4893,11243,1
3265,9219,1
3845,9219,1
9219,4893,1
2100,3265,1
2100,3845,1
2100,4893,1
3265,83732,1
3845,83732,1
4893,83732,1
3265,3980,1
3845,3980,1
3980,4893,1
3265,6872,1
3845,6872,1
4893,6872,1
3265,6421,1
3845,6421,1
4893,6421,1
3265,10452,1
3845,10452,1
4893,10452,1
3265,4758,1
3845,4758,1
4758,4893,1
3265,4724,1
3845,4724,1
4724,4893,1
3265,4677,1
3845,4677,1
4677,4893,1
3265,9928,1
9928,3845,1
9928,4893,1
3265,3576,1
3576,3845,1
3576,4893,1
3265,7428,1
3845,7428,1
4893,7428,1
3265,22934,1
3845,22934,1
4893,22934,1
2581,3265,1
2581,3845,1
2581,4893,1
51181,3265,1
51181,3845,1
51181,4893,1
213,23236,1
5004,23236,1
3815,23236,1
23236,5979,1
4914,23236,1
1436,23236,1
5156,23236,1
780,23236,1
25,23236,1
5159,23236,1
5243,23236,1
9429,23236,1
213,5532,1
5004,5532,1
3815,5532,1
5532,5979,1
4914,5532,1
1436,5532,1
5156,5532,1
780,5532,1
25,5532,1
5159,5532,1
5243,5532,1
9429,5532,1
213,7474,1
5004,7474,1
3815,7474,1
5979,7474,1
4914,7474,1
1436,7474,1
5156,7474,1
780,7474,1
25,7474,1
5159,7474,1
5243,7474,1
9429,7474,1
10555,3265,1
10555,3845,1
10555,4893,1
3265,8550,1
3845,8550,1
8550,4893,1
3265,65267,1
3845,65267,1
4893,65267,1
3265,3093,1
3845,3093,1
4893,3093,1
3265,5869,1
3845,5869,1
4893,5869,1
3265,10915,1
3845,10915,1
4893,10915,1
9734,3265,1
9734,3845,1
9734,4893,1
3265,6721,1
3845,6721,1
4893,6721,1
3265,4342,1
3845,4342,1
4342,4893,1
369,3265,1
369,3845,1
369,4893,1
9474,3265,1
9474,3845,1
9474,4893,1
3265,4175,1
3845,4175,1
4175,4893,1
3265,5599,1
3845,5599,1
5599,4893,1
3265,6576,1
3845,6576,1
4893,6576,1
1407,3265,1
1407,3845,1
1407,4893,1
3265,6514,1
3845,6514,1
4893,6514,1
3265,7376,1
3845,7376,1
7376,4893,1
3265,5618,1
3845,5618,1
4893,5618,1
3265,6799,1
3845,6799,1
4893,6799,1
3265,10253,1
3845,10253,1
4893,10253,1
3265,4729,1
3845,4729,1
4729,4893,1
894,3265,1
894,3845,1
894,4893,1
444,3265,1
444,3845,1
444,4893,1
10476,3265,1
10476,3845,1
10476,4893,1
23786,3265,1
23786,3845,1
23786,4893,1
1062,3265,1
1062,3845,1
1062,4893,1
3265,7703,1
3845,7703,1
4893,7703,1
598,3265,1
598,3845,1
598,4893,1
3265,4174,1
3845,4174,1
4174,4893,1
8644,4609,1
4609,7263,1
978,8767,1
1633,8767,1
8767,6240,1
8767,7298,1
51727,8767,1
5243,8767,1
10421,3265,1
10421,3845,1
10421,4893,1
3265,284058,1
284058,3845,1
284058,4893,1
2175,3265,1
2175,3845,1
2175,4893,1
3265,5985,1
3845,5985,1
4893,5985,1
23405,3265,1
23405,3845,1
23405,4893,1
1605,3265,1
1605,3845,1
1605,4893,1
3265,5329,1
3845,5329,1
4893,5329,1
3265,3608,1
3608,3845,1
3608,4893,1
3034,3265,1
3034,3845,1
3034,4893,1
3265,5770,1
3845,5770,1
4893,5770,1
3265,3735,1
3735,3845,1
3735,4893,1
3055,3265,1
3055,3845,1
3055,4893,1
3265,9961,1
3845,9961,1
9961,4893,1
55914,3265,1
55914,3845,1
55914,4893,1
3265,5930,1
3845,5930,1
4893,5930,1
3265,51274,1
51274,3845,1
51274,4893,1
1857,3265,1
1857,3845,1
1857,4893,1
10093,3265,1
10093,3845,1
10093,4893,1
191,3265,1
191,3845,1
191,4893,1
3265,8140,1
3845,8140,1
4893,8140,1
3265,4594,1
3845,4594,1
4594,4893,1
213,5600,1
5600,5004,1
3815,5600,1
5600,5979,1
5600,4914,1
1436,5600,1
5600,5156,1
780,5600,1
25,5600,1
5600,5159,1
5243,5600,1
9429,5600,1
3265,8148,1
3845,8148,1
4893,8148,1
3265,3778,1
3778,3845,1
3778,4893,1
1844,3265,1
1844,3845,1
1844,4893,1
3265,4191,1
3845,4191,1
4191,4893,1
3265,5879,1
3845,5879,1
4893,5879,1
3265,8239,1
3845,8239,1
4893,8239,1
3265,65018,1
3845,65018,1
4893,65018,1
10973,3265,1
10973,3845,1
10973,4893,1
3265,8463,1
3845,8463,1
4893,8463,1
3265,5682,1
3845,5682,1
4893,5682,1
3265,10276,1
3845,10276,1
10276,4893,1
3265,4891,1
3845,4891,1
4893,4891,1
3265,10557,1
3845,10557,1
4893,10557,1
2047,3265,1
2047,3845,1
2047,4893,1
1381,3265,1
1381,3845,1
1381,4893,1
1508,3265,1
1508,3845,1
1508,4893,1
3265,7084,1
3845,7084,1
4893,7084,1
3265,5048,1
3845,5048,1
4893,5048,1
3265,4548,1
3845,4548,1
4548,4893,1
3265,7316,1
3845,7316,1
4893,7316,1
1123,3265,1
1123,3845,1
1123,4893,1
2959,3265,1
2959,3845,1
2959,4893,1
3265,5437,1
3845,5437,1
4893,5437,1
3265,3551,1
3551,3845,1
3551,4893,1
3265,84333,1
3845,84333,1
2182,3265,1
2182,3845,1
2182,4893,1
8325,3265,1
8325,3845,1
8325,4893,1
1981,3265,1
1981,3845,1
1981,4893,1
3265,64750,1
3845,64750,1
4893,64750,1
3265,65220,1
3845,65220,1
65220,4893,1
3265,11004,1
11004,4893,1
3265,5577,1
3845,5577,1
4893,5577,1
93,3265,1
93,3845,1
93,4893,1
890,3265,1
890,4893,1
340273,3265,1
340273,3845,1
340273,4893,1
1431,3265,1
1431,3845,1
1431,4893,1
3265,8835,1
3845,8835,1
4893,8835,1
3265,5305,1
3845,5305,1
4893,5305,1
3265,5452,1
3845,5452,1
4893,5452,1
3265,6643,1
3845,6643,1
4893,6643,1
3265,6883,1
3845,6883,1
4893,6883,1
3265,7343,1
3845,7343,1
4893,7343,1
3265,3800,1
3800,3845,1
3800,4893,1
488,3265,1
488,3845,1
488,4893,1
675,3265,1
675,3845,1
675,4893,1
875,3265,1
875,3845,1
875,4893,1
8804,3265,1
8804,3845,1
8804,4893,1
53944,3265,1
53944,3845,1
53944,4893,1
3265,4773,1
3845,4773,1
4773,4893,1
10987,3265,1
10987,3845,1
10987,4893,1
978,79109,1
1633,79109,1
79109,6240,1
79109,7298,1
51727,79109,1
5243,79109,1
978,9261,1
1633,9261,1
9261,6240,1
9261,7298,1
51727,9261,1
5243,9261,1
3265,29928,1
3845,29928,1
4893,29928,1
3265,6715,1
3845,6715,1
4893,6715,1
308,3265,1
308,3845,1
308,4893,1
3265,7625,1
3845,7625,1
4893,7625,1
2266,3265,1
2266,3845,1
2266,4893,1
9184,3265,1
9184,3845,1
9184,4893,1
3265,7153,1
3845,7153,1
4893,7153,1
3265,7003,1
3845,7003,1
4893,7003,1
3265,7291,1
3845,7291,1
4893,7291,1
3265,5018,1
3845,5018,1
4893,5018,1
3265,4882,1
3845,4882,1
4882,4893,1
10694,3265,1
10694,3845,1
10694,4893,1
3265,6223,1
3845,6223,1
4893,6223,1
3265,4214,1
3845,4214,1
4214,4893,1
3265,5604,1
3845,5604,1
9318,3265,1
9318,3845,1
9318,4893,1
975,3265,1
975,3845,1
975,4893,1
8894,3265,1
8894,3845,1
8894,4893,1
3265,6500,1
3845,6500,1
4893,6500,1
23149,3265,1
23149,3845,1
23149,4893,1
3265,3329,1
3329,3845,1
3329,4893,1
3265,2475,1
3845,2475,1
2475,4893,1
3265,3716,1
3716,3845,1
3716,4893,1
3265,5598,1
3845,5598,1
5598,4893,1
3265,3832,1
3832,3845,1
3832,4893,1
3265,5445,1
3845,5445,1
4893,5445,1
3265,11108,1
3845,11108,1
4893,11108,1
2553,3265,1
2553,3845,1
2553,4893,1
3265,9767,1
3845,9767,1
4893,9767,1
1736,3265,1
1736,3845,1
1736,4893,1
3265,65264,1
3845,65264,1
4893,65264,1
1457,3265,1
1457,3845,1
1457,4893,1
2058,3265,1
2058,3845,1
2058,4893,1
978,3795,1
1633,3795,1
3795,6240,1
3795,7298,1
51727,3795,1
5243,3795,1
978,10783,1
1633,10783,1
10783,6240,1
10783,7298,1
51727,10783,1
5243,10783,1
978,5058,1
1633,5058,1
5058,6240,1
5058,7298,1
51727,5058,1
5243,5058,1
1948,3265,1
1948,3845,1
1948,4893,1
3265,4190,1
3845,4190,1
4190,4893,1
3265,4691,1
3845,4691,1
4691,4893,1
3265,4704,1
3845,4704,1
4704,4893,1
1072,3265,1
1072,3845,1
1072,4893,1
978,5609,1
1633,5609,1
5609,6240,1
5609,7298,1
51727,5609,1
5243,5609,1
978,25865,1
1633,25865,1
25865,6240,1
25865,7298,1
51727,25865,1
5243,25865,1
3265,3313,1
3313,3845,1
3313,4893,1
3265,55699,1
55699,3845,1
55699,4893,1
3265,6924,1
3845,6924,1
4893,6924,1
3265,4835,1
3845,4835,1
4835,4893,1
3265,4931,1
3845,4931,1
4893,4931,1
978,5170,1
1633,5170,1
5170,6240,1
5170,7298,1
51727,5170,1
5243,5170,1
811,3265,1
811,3845,1
811,4893,1
7840,3265,1
7840,3845,1
7840,4893,1
3265,22938,1
3845,22938,1
4893,22938,1
3265,5320,1
3845,5320,1
4893,5320,1
3265,146057,1
3845,146057,1
4893,146057,1
3265,51182,1
51182,3845,1
51182,4893,1
3265,8518,1
8518,3845,1
8518,4893,1
213,8061,1
8061,5004,1
8061,3815,1
8061,5979,1
8061,4914,1
1436,8061,1
8061,5156,1
780,8061,1
25,8061,1
8061,5159,1
5243,8061,1
9429,8061,1
978,1445,1
1445,1633,1
1445,6240,1
1445,7298,1
51727,1445,1
5243,1445,1
978,2241,1
1633,2241,1
2241,6240,1
2241,7298,1
51727,2241,1
5243,2241,1
978,3791,1
1633,3791,1
3791,7298,1
51727,3791,1
5243,3791,1
978,7867,1
1633,7867,1
7867,6240,1
7867,7298,1
51727,7867,1
5243,7867,1
978,8877,1
1633,8877,1
6240,8877,1
8877,7298,1
51727,8877,1
5243,8877,1
3265,6118,1
3845,6118,1
4893,6118,1
140735,3265,1
140735,3845,1
140735,4893,1
3265,5887,1
3845,5887,1
4893,5887,1
3265,23512,1
3845,23512,1
4893,23512,1
3265,23658,1
3845,23658,1
23658,4893,1
1495,3265,1
1495,3845,1
1495,4893,1
3265,23043,1
3845,23043,1
4893,23043,1
3265,3376,1
3376,3845,1
3376,4893,1
5394,3265,1
5394,3845,1
5394,4893,1
308,4609,1
978,8737,1
1633,8737,1
8737,6240,1
8737,7298,1
51727,8737,1
5243,8737,1
3265,84844,1
3845,84844,1
4893,84844,1
2737,3265,1
2737,3845,1
2737,4893,1
3265,10972,1
3845,10972,1
4893,10972,1
3265,10988,1
3845,10988,1
10988,4893,1
5610,3265,1
5610,3845,1
5610,4893,1
3265,7311,1
3845,7311,1
4893,7311,1
1891,3265,1
1891,3845,1
1891,4893,1
978,6885,1
1633,6885,1
6885,6240,1
6885,7298,1
51727,6885,1
5243,6885,1
3265,10651,1
3845,10651,1
10651,4893,1
3265,5300,1
3845,5300,1
4893,5300,1
3265,8554,1
3845,8554,1
4893,8554,1
3265,7226,1
3845,7226,1
4893,7226,1
4609,9868,1
978,1454,1
1454,1633,1
1454,6240,1
1454,7298,1
51727,1454,1
5243,1454,1
978,2321,1
1633,2321,1
2321,6240,1
2321,7298,1
51727,2321,1
5243,2321,1
3265,9378,1
3845,9378,1
4893,9378,1
54815,3265,1
54815,3845,1
54815,4893,1
3265,197259,1
3845,197259,1
197259,4893,1
3265,4953,1
3845,4953,1
4893,4953,1
1958,4609,1
978,204851,1
1633,204851,1
204851,6240,1
204851,7298,1
51727,204851,1
5243,204851,1
978,53632,1
1633,53632,1
53632,6240,1
53632,7298,1
51727,53632,1
5243,53632,1
3265,3611,1
3611,3845,1
3611,4893,1
3265,9918,1
3845,9918,1
9918,4893,1
978,23604,1
23604,1633,1
23604,6240,1
23604,7298,1
51727,23604,1
5243,23604,1
978,2870,1
1633,2870,1
2870,6240,1
2870,7298,1
51727,2870,1
5243,2870,1
978,1263,1
1633,1263,1
1263,6240,1
1263,7298,1
51727,1263,1
5243,1263,1
3265,5663,1
3845,5663,1
4893,5663,1
2959,4609,1
203,978,1
203,1633,1
203,6240,1
203,7298,1
203,51727,1
5243,203,1
801,978,1
801,1633,1
801,6240,1
801,7298,1
801,51727,1
3265,9533,1
3845,9533,1
4893,9533,1
54512,3265,1
54512,3845,1
54512,4893,1
4609,5728,1
644,4609,1
10664,4609,1
833,978,1
833,1633,1
833,6240,1
833,7298,1
833,51727,1
978,8837,1
8837,1633,1
8837,6240,1
8837,7298,1
8837,51727,1
5243,8837,1
978,1856,1
1633,1856,1
1856,6240,1
1856,7298,1
51727,1856,1
5243,1856,1
978,2041,1
1633,2041,1
2041,6240,1
2041,7298,1
51727,2041,1
5243,2041,1
978,5045,1
1633,5045,1
5045,6240,1
5045,7298,1
51727,5045,1
5243,5045,1
978,4214,1
1633,4214,1
4214,6240,1
4214,7298,1
51727,4214,1
5243,4214,1
978,5602,1
1633,5602,1
5602,6240,1
5602,7298,1
51727,5602,1
5243,5602,1
978,5586,1
1633,5586,1
5586,6240,1
5586,7298,1
51727,5586,1
5243,5586,1
978,5699,1
1633,5699,1
5699,6240,1
5699,7298,1
51727,5699,1
5243,5699,1
978,6041,1
1633,6041,1
6041,6240,1
6041,7298,1
51727,6041,1
5243,6041,1
978,6240,1
1633,6240,1
6240,7298,1
51727,6240,1
5243,6240,1
978,7780,1
1633,7780,1
6240,7780,1
7780,7298,1
51727,7780,1
5243,7780,1
978,4089,1
1633,4089,1
6240,4089,1
4089,7298,1
51727,4089,1
5243,4089,1
978,6775,1
1633,6775,1
6240,6775,1
6775,7298,1
51727,6775,1
5243,6775,1
699,1545,1
596,699,1
5243,699,1
9429,699,1
1244,699,1
716,1545,1
596,716,1
5243,716,1
9429,716,1
1244,716,1
833,1545,1
596,833,1
1244,833,1
873,1545,1
596,873,1
5243,873,1
9429,873,1
1244,873,1
271,1545,1
271,596,1
5243,271,1
9429,271,1
1244,271,1
1545,2188,1
596,2188,1
5243,2188,1
9429,2188,1
1244,2188,1
1545,2547,1
596,2547,1
5243,2547,1
9429,2547,1
1244,2547,1
1545,3054,1
596,3054,1
5243,3054,1
9429,3054,1
1244,3054,1
1545,3611,1
596,3611,1
5243,3611,1
9429,3611,1
1244,3611,1
1545,5530,1
596,5530,1
1244,5530,1
10295,1545,1
10295,596,1
5243,10295,1
9429,10295,1
1244,10295,1
1545,5792,1
596,5792,1
5243,5792,1
9429,5792,1
1244,5792,1
1545,5883,1
596,5883,1
5243,5883,1
9429,5883,1
1244,5883,1
1545,5985,1
596,5985,1
5243,5985,1
9429,5985,1
1244,5985,1
1545,6608,1
596,6608,1
5243,6608,1
9429,6608,1
1244,6608,1
330,1545,1
5243,330,1
9429,330,1
1244,330,1
1545,6648,1
596,6648,1
5243,6648,1
9429,6648,1
1244,6648,1
6790,1545,1
6790,596,1
9429,6790,1
1244,6790,1
4609,4915,1
1984,8883,1
2197,8883,1
330,8883,1
599,8883,1
8678,8883,1
8883,8797,1
8883,23411,1
29082,8883,1
356,8883,1
4074,8883,1
4176,8883,1
4217,8883,1
8883,387,1
8883,4671,1
8883,4780,1
8883,4998,1
5167,8883,1
5594,8883,1
578,8883,1
8883,6203,1
8883,6591,1
8883,6723,1
8883,6788,1
8883,6827,1
8883,6934,1
8883,7027,1
8883,7185,1
8883,7187,1
8883,7494,1
8883,7703,1
8900,8883,1
673,8883,1
8883,9246,1
9759,8883,1
8883,10298,1
10447,8883,1
8883,10497,1
10533,8883,1
10694,8883,1
8883,10813,1
8883,10921,1
8883,22978,1
8883,23368,1
8883,55504,1
81620,8883,1
253430,8883,1
1490,8883,1
27,8883,1
1856,8883,1
2149,8883,1
2309,8883,1
3099,8883,1
338,8883,1
350,8883,1
3558,8883,1
8883,5985,1
8883,6241,1
8883,7298,1
8883,7374,1
8883,7486,1
8883,7508,1
8883,7518,1
841,8883,1
8883,8554,1
891,8883,1
8945,8883,1
9112,8883,1
8883,9126,1
8883,10051,1
10524,8883,1
10613,8883,1
8883,10721,1
10898,8883,1
1027,8883,1
26993,8883,1
8883,27244,1
1384,8883,1
210,8883,1
8883,54386,1
1454,8883,1
1718,8883,1
1719,8883,1
340273,8883,1
1871,8883,1
2033,8883,1
2068,8883,1
2237,8883,1
2956,8883,1
345,8883,1
3476,8883,1
4221,8883,1
4255,8883,1
8883,4728,1
8883,4869,1
8883,4968,1
8883,5087,1
8883,5516,1
3265,25898,1
3845,25898,1
4893,25898,1
8574,213,1
8574,5004,1
8574,3815,1
8574,5979,1
8574,4914,1
8574,1436,1
8574,5156,1
8574,780,1
25,8574,1
8574,5159,1
5243,8574,1
9429,8574,1
213,2677,1
2677,5004,1
2677,3815,1
2677,5979,1
2677,4914,1
1436,2677,1
2677,5156,1
780,2677,1
25,2677,1
2677,5159,1
5243,2677,1
9429,2677,1
213,3122,1
3122,5004,1
3122,3815,1
3122,5979,1
3122,4914,1
1436,3122,1
3122,5156,1
780,3122,1
25,3122,1
3122,5159,1
5243,3122,1
9429,3122,1
213,3688,1
3688,5004,1
3688,3815,1
3688,5979,1
3688,4914,1
1436,3688,1
3688,5156,1
780,3688,1
25,3688,1
3688,5159,1
5243,3688,1
9429,3688,1
213,8202,1
8202,5004,1
3815,8202,1
8202,5979,1
8202,4914,1
1436,8202,1
8202,5156,1
780,8202,1
25,8202,1
8202,5159,1
5243,8202,1
9429,8202,1
213,5352,1
5004,5352,1
3815,5352,1
5352,5979,1
4914,5352,1
1436,5352,1
5156,5352,1
780,5352,1
25,5352,1
5159,5352,1
5243,5352,1
9429,5352,1
213,5906,1
5004,5906,1
3815,5906,1
5906,5979,1
4914,5906,1
1436,5906,1
5156,5906,1
780,5906,1
25,5906,1
5159,5906,1
5243,5906,1
